time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-04 09:15:00,Ok,1693799100,44645.2,44645.2,44511.15,44573.25,0.00,0,0,0,0
2023-09-04 09:20:00,Ok,1693799400,44569.3,44585.55,44532.2,44545.35,0.00,0,0,0,0
2023-09-04 09:25:00,Ok,1693799700,44539.95,44571.6,44520.55,44539.6,0.00,0,0,0,0
2023-09-04 09:30:00,Ok,1693800000,44537.1,44567.0,44530.45,44531.3,0.00,0,0,0,0
2023-09-04 09:35:00,Ok,1693800300,44529.65,44533.15,44427.65,44467.75,0.00,0,0,0,0
2023-09-04 09:40:00,Ok,1693800600,44469.65,44474.1,44404.4,44411.75,0.00,0,0,0,0
2023-09-04 09:45:00,Ok,1693800900,44410.75,44552.0,44404.45,44524.8,0.00,0,0,0,0
2023-09-04 09:50:00,Ok,1693801200,44521.55,44533.1,44501.05,44530.5,0.00,0,0,0,0
2023-09-04 09:55:00,Ok,1693801500,44530.4,44552.05,44507.7,44508.8,0.00,0,0,0,0
2023-09-04 10:00:00,Ok,1693801800,44510.3,44529.0,44430.55,44433.3,0.00,0,0,0,0
2023-09-04 10:05:00,Ok,1693802100,44433.25,44449.4,44408.95,44430.8,0.00,0,0,0,0
2023-09-04 10:10:00,Ok,1693802400,44431.15,44448.4,44408.55,44423.5,0.00,0,0,0,0
2023-09-04 10:15:00,Ok,1693802700,44422.95,44425.15,44374.35,44410.05,0.00,0,0,0,0
2023-09-04 10:20:00,Ok,1693803000,44411.85,44450.65,44396.85,44442.65,0.00,0,0,0,0
2023-09-04 10:25:00,Ok,1693803300,44444.3,44459.45,44413.75,44423.15,0.00,0,0,0,0
2023-09-04 10:30:00,Ok,1693803600,44424.5,44426.35,44367.75,44392.4,0.00,0,0,0,0
2023-09-04 10:35:00,Ok,1693803900,44395.2,44402.05,44313.3,44313.55,0.00,0,0,0,0
2023-09-04 10:40:00,Ok,1693804200,44313.75,44363.45,44311.65,44350.65,0.00,0,0,0,0
2023-09-04 10:45:00,Ok,1693804500,44349.4,44368.6,44326.85,44367.0,0.00,0,0,0,0
2023-09-04 10:50:00,Ok,1693804800,44366.7,44444.75,44362.8,44415.0,0.00,0,0,0,0
2023-09-04 10:55:00,Ok,1693805100,44412.8,44417.45,44352.7,44360.1,0.00,0,0,0,0
2023-09-04 11:00:00,Ok,1693805400,44361.8,44470.0,44332.3,44468.85,0.00,0,0,0,0
2023-09-04 11:05:00,Ok,1693805700,44471.65,44479.1,44446.6,44449.3,0.00,0,0,0,0
2023-09-04 11:10:00,Ok,1693806000,44451.3,44466.2,44424.75,44453.75,0.00,0,0,0,0
2023-09-04 11:15:00,Ok,1693806300,44454.05,44464.9,44424.7,44446.3,0.00,0,0,0,0
2023-09-04 11:20:00,Ok,1693806600,44447.4,44474.85,44444.6,44456.85,0.00,0,0,0,0
2023-09-04 11:25:00,Ok,1693806900,44460.1,44466.4,44417.5,44452.8,0.00,0,0,0,0
2023-09-04 11:30:00,Ok,1693807200,44450.05,44472.75,44441.7,44452.8,0.00,0,0,0,0
2023-09-04 11:35:00,Ok,1693807500,44452.1,44508.85,44448.65,44508.85,0.00,0,0,0,0
2023-09-04 11:40:00,Ok,1693807800,44504.3,44506.75,44441.4,44472.9,0.00,0,0,0,0
